,rxn,lb,ub
373,PGCD,-100.0,100.0
374,PGI,-100.0,100.0
375,PGK,-100.0,100.0
376,PGL,-100.0,100.0
377,PGM,-100.0,100.0
378,PGMT,-100.0,100.0
379,PGPPEC,-100.0,100.0
380,PGSAEC,-100.0,100.0
381,PHETA1,-100.0,100.0
382,PLIPA1,-100.0,100.0
383,PLIPA2,-100.0,100.0
384,PMDPHT,-100.0,100.0
385,PNTK,-100.0,100.0
386,POX,-100.0,100.0
387,ppa,-100.0,100.0
388,PPAKr,-100.0,100.0
389,PPC,-100.0,100.0
390,PPCDC,-100.0,100.0
391,PPCK,-100.0,100.0
392,PPCSCT,-100.0,100.0
393,PPM,-100.0,100.0
394,PPM2,-100.0,100.0
395,PPNCL2,-100.0,100.0
396,PPND,-100.0,100.0
397,PPNDH,-100.0,100.0
398,PPS,-100.0,100.0
399,PPTGS,-100.0,100.0
400,PRAGSr,-100.0,100.0
401,PRAIi,-100.0,100.0
402,PRAIS,-100.0,100.0
403,PRAMPC,-100.0,100.0
404,PRASCS,-100.0,100.0
405,PRATPP,-100.0,100.0
406,PRFGS,-100.0,100.0
407,PRMICIi,-100.0,100.0
408,PROD2,-100.0,100.0
409,PRPPS,-100.0,100.0
410,PSCVT,-100.0,100.0
411,PSDEC,-100.0,100.0
412,PSERT,-100.0,100.0
413,PSPL,-100.0,100.0
414,PSSAEC,-100.0,100.0
415,PTA2,-100.0,100.0
416,PTAr,-100.0,100.0
417,PTPATi,-100.0,100.0
418,PTRCTA,-100.0,100.0
419,PUNP1,-100.0,100.0
420,PUNP2,-100.0,100.0
421,PUNP3,-100.0,100.0
422,PUNP4,-100.0,100.0
423,PUNP5,-100.0,100.0
424,PUNP6,-100.0,100.0
425,PUNP7,-100.0,100.0
426,PYAM5PO,-100.0,100.0
427,PYDAMK,-100.0,100.0
428,PYDXK,-100.0,100.0
429,PYDXNK,-100.0,100.0
430,PYDXPP,-100.0,100.0
431,PYK,-100.0,100.0
432,PYNP2r,-100.0,100.0
433,QULNS,-100.0,100.0
434,RBFK,-100.0,100.0
435,RBFSa,-100.0,100.0
436,RBFSb,-100.0,100.0
437,RNDR1,-100.0,100.0
438,RNDR2,-100.0,100.0
439,RNDR3,-100.0,100.0
440,RNDR4,-100.0,100.0
441,RNTR1,-100.0,100.0
442,RNTR2,-100.0,100.0
443,RNTR3,-100.0,100.0
444,RNTR4,-100.0,100.0
445,RPE,-100.0,100.0
446,RPI,-100.0,100.0
447,S7PI,-100.0,100.0
448,SADH,-100.0,100.0
449,SADT2,-100.0,100.0
450,SDPDS,-100.0,100.0
451,SDPTA,-100.0,100.0
452,SERAT,-100.0,100.0
453,SERDL,-100.0,100.0
454,SGDS,-100.0,100.0
455,SGSAD,-100.0,100.0
456,SHK3Dr,-100.0,100.0
457,SHKK,-100.0,100.0
458,SHSL1,-100.0,100.0
459,SOTA,-100.0,100.0
460,SPMS,-100.0,100.0
461,SSALx,-100.0,100.0
462,SSALy,-100.0,100.0
463,SUCD,-100.0,100.0
464,SUCOAS,-100.0,100.0
465,SULR,-100.0,100.0
466,TALA,-100.0,100.0
467,TDSK,-100.0,100.0
468,TESTAKGDH,-100.0,100.0
469,TESTNADTRHD,-100.0,100.0
470,THDPS,-100.0,100.0
471,THRAr,-100.0,100.0
472,THRD,-100.0,100.0
473,THRDL,-100.0,100.0
474,THRS,-100.0,100.0
475,TKT1,-100.0,100.0
476,TKT2,-100.0,100.0
477,TMAOR1,-100.0,100.0
478,TMAOR2,-100.0,100.0
479,TMDK1,-100.0,100.0
480,TMDS,-100.0,100.0
481,TPI,-100.0,100.0
482,TRDR,-100.0,100.0
483,TRE6PH,-100.0,100.0
484,TRE6PP,-100.0,100.0
485,TRE6PS,-100.0,100.0
486,TREH,-100.0,100.0
487,TREHe,-100.0,100.0
488,TRPAS1,-100.0,100.0
489,TRPAS2,-100.0,100.0
490,TRPS1,-100.0,100.0
491,TRPS2,-100.0,100.0
492,TRPS3,-100.0,100.0
493,TRSAR,-100.0,100.0
494,TYRTA,-100.0,100.0
495,U23GAAT,-100.0,100.0
496,UAAGDS,-100.0,100.0
497,UAGAAT,-100.0,100.0
498,UAGCVT,-100.0,100.0
499,UAGDP,-100.0,100.0
500,UAGPT3,-100.0,100.0
501,UAMAGS,-100.0,100.0
502,UAMAS,-100.0,100.0
503,UAPGR,-100.0,100.0
504,UDCPDP,-100.0,100.0
505,UGMDDS,-100.0,100.0
506,UHGADA,-100.0,100.0
507,UMPK,-100.0,100.0
508,UNK3,-100.0,100.0
509,UPPRT,-100.0,100.0
510,URIDK2r,-100.0,100.0
511,URIK2,-100.0,100.0
512,USHD,-100.0,100.0
513,VALTA,-100.0,100.0
514,VPAMT,-100.0,100.0
515,XPPT,-100.0,100.0
516,biomass,-100.0,100.0
517,EX_ac,8.826068397839,12.84593332748
518,EX_co2,0.0,100.0
519,EX_glc,-12.148855548767477,-9.302806592838524
520,EX_h,-100.0,100.0
521,EX_h2o,-100.0,100.0
522,EX_nh3,-100.0,100.0
523,EX_o2,-100.0,0.0
524,EX_pi,-100.0,100.0
525,EX_so4,-100.0,100.0
526,ABUTt2,-100.0,100.0
527,ACt2r,-100.0,100.0
528,ALAabc,-100.0,100.0
529,ALARi,-100.0,100.0
