,id,v,drg0,drg,z_drg,z_drg0,sp_drg
80,MLTP1,-3.72286361353873e-07,,0.10000000000000586,-0.17653421913636116,,0.4002255903023718
81,MLTP2,-3.851536109400648e-07,,0.09999999999999742,-0.33894257646670256,,0.1692452829515675
82,MLTP3,-1.5589514172350052,,0.10000000000000142,-0.3389443522498035,,0.09679901955913295
83,MMCD,40.50371708048669,,-49.07168086994663,-0.33862470306253345,,3.382990872868876e-11
84,MME,40.50371708048669,,-0.10000000000006182,0.0022439787582575477,,0.014052449731670899
85,MMM2,40.50371708048669,,-0.09999999999998721,-1.1199604596441997,,0.030150875742736505
86,NADH10,2.0199999539727287e-07,,-5.330721352870206,1.4427854264720443,,2.241044563310314e-10
87,NADH5,1e-05,,-115.09045273253516,1.1971798255109203,,0.0
88,NADH9,2.0199999539727287e-07,,-29.923541016729665,1.189651943712588,,0.0
89,OBTFL,-40.50371687848674,,4.644762689378368,0.739474204082236,,2.1129815425741953e-10
90,PDH,2.0199999539727287e-07,,-43.201316545347346,0.1272416362587082,,3.0420558713301684e-11
91,PFK,1e-05,,-19.56922086977803,-0.06860199343237589,,7.797467272803247e-11
92,PFL,100.0,,-5.2917393608093715,1.4231258658259796,,1.433178666926878e-10
93,PGI,10.4642604245847,,-0.2723929842960215,-0.09489714944141961,,9.021710601757418e-09
94,PGK,-10.744815802461963,,8.437544364867009,-0.45384096637823035,,1.8419907139473305e-10
95,PGL,1.2580653776089354,,-26.79833510027621,-0.00019883696668648865,,5.643001778957133e-11
96,PGM,-100.0,,0.09999999999999698,0.648843120503196,,0.18238529095925432
97,PGMT,-93.0489217808848,,0.10000000000000053,0.770624435573448,,1.0778703448823244
98,POX,2.8870722291359314,,-231.20695391470164,0.09867095303275646,,4.676691847636908e-12
99,ppa,100.0,,-34.98448078361434,0.25203751464949087,,4.1999776436652086e-11
100,PPAKr,2.0199999539727287e-07,,-15.093019287925124,2.0999376721657965,,1.2473837363606646e-10
101,PPC,100.0,,-26.84227961651516,0.13278925840691846,,5.362452887275733e-11
102,PPCK,23.41761050572099,,-27.16722296674871,-0.04231958056278408,,5.738936798212379e-11
103,PPCSCT,-4.039999953972729e-07,,0.09999999999999964,1.7151908970479826,,0.6112242581287559
104,PPM,1.8666944857178922e-07,,-0.8578642245059801,0.017417959355448417,,2.0298413433599157e-09
105,PPM2,2.019999243429993e-07,,-26.05299797808708,0.08603232518463688,,5.697364414567935e-11
106,PPS,100.0,,-36.29093238306252,0.3748196678899846,,3.8026319246855844e-11
107,PTA2,2.0199999539727287e-07,,-0.10000000000006892,-1.9561179766063135,,0.6962766088878859
