,lb,ub
glyc3p_c,-16.11809565096445,-5.19694018989626
glu5sa_c,-16.11809565085673,-6.907755278982137
1pyr5c_c,-16.11809569851816,-6.907755278982137
glu5p_c,-16.118095795423777,-6.907755278983034
6pgl_c,-16.11809565095868,-6.907755278982137
gal_c,-16.118095650958693,-6.907755278982137
udpg_c,-8.897316301856668,-4.041284661962974
13dpg_c,-10.740339501020864,-8.441141389738235
gar_c,-16.118095650958324,-6.907755278982137
fgam_c,-16.11809565095958,-6.907755278982137
glyclt_c,-16.118095651069254,-6.907755278982137
ser-L_c,-16.11809565100259,-7.215001523367842
gly_c,-16.1180956509589,-6.907755278982137
mlthf_c,-16.11809565096104,-6.907755278982137
glycogen_c,-16.118095650958324,-6.907755278982137
2h3oppan_c,-16.11809565106298,-6.9077552790015435
adpglc_c,-12.048328133660581,-10.635512328162633
pram_c,-16.11809565099457,-6.907755278982137
glu-D_c,-16.118095650958324,-6.907755278982137
glx_c,-16.118095650110035,-6.907755278982137
2aobut_c,-16.118095650922577,-6.907755278982137
glyc-R_c,-7.693024569127454,-4.565715937784744
3pg_c,-6.738568408629215,-4.543802366063595
lgt-S_c,-16.118095651030124,-6.907755278982137
gthrd_c,-5.046456340680264,-2.647138325560398
lac-D_c,-16.118095662449306,-6.907755278982137
gmhep1p_c,-16.118095651029762,-6.907755278982137
gmhep7p_c,-16.118095651196334,-6.907755278983146
gmhep17bp_c,-16.118095650888222,-6.907755278982137
xmp_c,-16.118095650958324,-6.907755278982137
g3pc_c,-16.1180956512556,-6.907755278982137
chol_c,-16.11809565087244,-6.907755278982137
g3pe_c,-16.118095745915674,-6.907755278982137
g3pg_c,-16.118095657467144,-6.907755278982137
gsn_c,-12.81511530450715,-11.700140764015144
gtspmd_c,-16.118095650958324,-6.907755278982137
spmd_c,-16.118095650958324,-6.907755278982137
gua_c,-16.118095650958324,-6.892565652778421
xan_c,-16.118095650856326,-6.907755278982137
histd_c,-16.118095650905815,-8.663638321354728
his-L_c,-16.11809565095836,-7.3916452792451155
hisp_c,-16.11809565095853,-6.907755278982137
hpyr_c,-16.118095650958324,-6.907755278982137
hom-L_c,-16.11809565092709,-6.907755278982137
phom_c,-16.118095650914952,-6.907755278982137
suchms_c,-16.118095650899193,-6.907755278982137
imacp_c,-16.118095653058617,-6.907755278982137
pydam_c,-16.118095651031005,-6.907755278982137
prlp_c,-16.118095654047202,-6.907755278982137
eig3p_c,-16.118095650958324,-6.907755278982137
2cpr5p_c,-16.118095650958324,-6.907755278982137
3ig3p_c,-16.118095650907904,-6.907755278982137
ile-L_c,-16.11809565104121,-6.907755278982137
3c2hmp_c,-16.118095650288645,-6.907755288704338
