,rxn,lb,ub,width_metabolome,width_no_metabolome,source
265,L-LACD3,-60.66472291616691,0.0,60.66472291616691,200.0,metabolome
266,LPADSS,0.0022565554237525,0.0027896336373027,0.0005330782135501999,0.0005330782140767001,metabolome
267,LPLIPA1,-99.99959000133134,99.99930951356748,199.99889951489882,200.0,metabolome
268,LPLIPA2,-100.0,99.9997321307882,199.9997321307882,200.0,metabolome
269,LPLIPA3,-99.99950000029337,100.0,199.99950000029338,199.9989743367857,metabolome
270,LPLIPA4,-100.0,99.9995721777355,199.9995721777355,199.99911477158582,metabolome
271,LPLIPA5,-99.99952616063656,99.99949999887195,199.9990261595085,199.99954971637334,metabolome
272,LPLIPA6,-99.99946425102304,99.99928509727371,199.99874934829677,199.999000005575,metabolome
273,LPSSYNEC,0.0022565554237525,0.0027896336373027,0.0005330782135501999,0.0005330782135501999,metabolome
274,MACPD,-100.0,100.0,200.0,200.0,metabolome
275,MALS,-100.0,100.0,200.0,200.0,metabolome
276,MCITD,-0.0916593909399665,100.0,200.0,100.09165939093997,no_metabolome
277,MCITL2,-0.091659392020972,100.0,200.0,100.09165939202097,no_metabolome
278,MCITS,-0.0916593909399665,99.03499535863682,200.0,99.12665474957679,no_metabolome
279,MCOATA,-96.88121219391964,99.86807544297857,200.0,196.7492876368982,no_metabolome
280,MDH,-100.0,100.0,200.0,200.0,metabolome
281,MDH2,0.0,60.66469885594521,60.66469885594521,100.0,metabolome
282,MDH3,-99.98502700379991,100.0,199.98502700379993,200.0,metabolome
283,MDRPD,0.0018804628531228,0.0023246946977479,0.0004442318446250999,0.00044423184479519995,metabolome
284,ME1,-100.0,100.0,200.0,200.0,metabolome
285,ME2,-100.0,100.0,200.0,200.0,metabolome
286,METAT,0.0018804628531228,0.0023246946977479,0.0004442318446250999,0.0004442318449093001,metabolome
287,METS,0.0392210823650032,0.0484864894102372,0.009265407045234,0.009265407617023297,metabolome
288,MGSA,-100.0,100.0,200.0,200.0,metabolome
289,MICITD,-0.0916593909399665,99.20936967261494,200.0,99.3010290635549,no_metabolome
290,MLTG2,-100.0,100.0,200.0,200.0,metabolome
291,MLTG3,-100.0,100.0,200.0,200.0,metabolome
292,MLTG4,-100.0,100.0,200.0,200.0,metabolome
293,MLTG5,-100.0,100.0,200.0,199.21322638558678,metabolome
294,MLTP1,-100.0,100.0,200.0,200.0,metabolome
295,MLTP2,-100.0,100.0,200.0,200.0,metabolome
296,MLTP3,-100.0,100.0,200.0,200.0,metabolome
297,MMCD,-100.0,100.0,200.0,199.71072971225294,metabolome
298,MME,-100.0,100.0,200.0,200.0,metabolome
299,MMM2,-100.0,100.0,200.0,200.0,metabolome
300,MOAT,0.0022565554237525,0.0027896336373027,0.0005330782135501999,0.0005330782135501999,metabolome
301,MOAT2,0.0022565554237525,0.0027896336373027,0.0005330782135501999,0.0005330782135501999,metabolome
302,MOHMT,-1.9593855309613103e-05,1.9593855309613103e-05,3.9187710619226206e-05,3.7442400643711293e-06,metabolome
303,MTAN,0.0018804628531228,0.0023246946977482,0.0004442318446254,0.0004442318446250999,metabolome
304,MTHFC,-100.0,100.0,200.0,199.71142470783516,metabolome
305,MTHFD,-98.9210526299018,100.0,200.0,198.9210526299018,no_metabolome
306,MTHFR2,0.0526529598872826,0.0650914515494097,0.012438491662127106,0.012438491850806498,metabolome
307,MTRI,0.0018804628531228,0.0023246946977479,0.0004442318446250999,0.0004442318446250999,metabolome
308,MTRK,0.0018804628531228,0.0023246946977479,0.0004442318446250999,0.0004442318446250999,metabolome
309,NACODA,-100.0,100.0,200.0,200.0,metabolome
310,NADDP,-100.0,100.0,200.0,200.0,metabolome
311,NADH10,-100.0,100.0,200.0,200.0,metabolome
312,NADH5,0.0,60.66487235184471,60.66487235184471,200.0,metabolome
313,NADH9,-100.0,100.0,200.0,200.0,metabolome
314,NADK,0.0,100.0,199.99985762209826,100.0,no_metabolome
315,NADPPPS,-100.0,99.99985762209826,199.99985762209826,199.99982398740167,metabolome
316,NADS1,-100.0,100.0,200.0,200.0,metabolome
317,NAMNPP,-100.0,100.0,200.0,200.0,metabolome
318,NDPK1,-100.0,100.0,200.0,199.78101526527757,metabolome
319,NDPK2,-99.89149729337484,100.0,199.89149729337484,199.88019866664038,metabolome
320,NDPK3,-100.0,100.0,200.0,200.0,metabolome
321,NDPK4,-99.99336465250389,100.0,199.99336465250389,199.99179714870945,metabolome
322,NDPK5,-100.0,100.0,200.0,200.0,metabolome
323,NDPK6,-100.0,100.0,200.0,199.89813264087087,metabolome
324,NDPK7,-100.0,100.0,200.0,200.0,metabolome
325,NDPK8,-100.0,100.0,200.0,200.0,metabolome
326,NMNAT,-100.0,100.0,200.0,200.0,metabolome
327,NMNDA,-100.0,100.0,200.0,200.0,metabolome
328,NMNN,0.0,100.0,100.0,100.000906649623,metabolome
329,NNAM,-0.0009066496230047,100.0,200.0,100.000906649623,no_metabolome
330,NNAT,-100.0,100.0,200.0,200.0,metabolome
331,NNDPR,-0.0008616331387401,0.0009066496229964,0.0017682827617365,0.0018132618642468,metabolome
332,NTD1,-100.0,100.0,200.0,199.85840338246726,metabolome
333,NTD10,-100.0,100.0,200.0,200.0,metabolome
334,NTD11,-100.0,100.0,200.0,200.0,metabolome
335,NTD2,-100.0,100.0,200.0,200.0,metabolome
336,NTD3,-100.0,100.0,200.0,200.0,metabolome
337,NTD4,-100.0,100.0,200.0,200.0,metabolome
338,NTD5,-100.0,100.0,200.0,200.0,metabolome
339,NTD6,-100.0,100.0,200.0,200.0,metabolome
340,NTD7,-100.0,100.0,200.0,199.36377743245546,metabolome
341,NTD8,-0.0084353207625866,99.92520861958069,99.93364394034327,200.0,metabolome
342,NTD9,-100.0,100.0,200.0,200.0,metabolome
343,NTPP1,-100.0,100.0,200.0,200.0,metabolome
344,NTPP2,-100.0,100.0,200.0,200.0,metabolome
345,NTPP3,-100.0,100.0,200.0,200.0,metabolome
346,NTPP4,-100.0,100.0,200.0,200.0,metabolome
347,NTPP5,-100.0,100.0,200.0,200.0,metabolome
348,NTPP6,-100.0,100.0,200.0,200.0,metabolome
349,NTPP7,-100.0,99.99336465250389,199.99336465250389,199.99179714870945,metabolome
350,NTPP8,-100.0,100.0,200.0,200.0,metabolome
351,NTPTP1,-100.0,100.0,200.0,200.0,metabolome
352,NTPTP2,-100.0,100.0,200.0,200.0,metabolome
353,OBTFL,-100.0,99.92585603607564,199.92585603607563,199.9083406090611,metabolome
354,OCBT,-99.9245128483234,100.0,199.9245128483234,199.90668011284845,metabolome
355,OMCDC,0.1149768715928019,0.1421384758038186,0.02716160421101671,0.02716160421432791,metabolome
356,OMPDC,0.0846476921458929,0.1046444713228993,0.019996779177006388,0.019996779177404292,metabolome
357,ORNDC,-99.98871722288108,100.0,199.98871722288106,199.98605183181365,metabolome
358,ORNTA,-100.0,100.0,200.0,200.0,metabolome
359,ORPT,-0.1046444713229135,-0.0846476921455803,0.01999677917733321,0.019996779177390095,metabolome
360,P5CD,-100.0,99.94358611440538,199.94358611440538,199.93025915906824,metabolome
361,P5CR,-99.94358611440543,100.0,199.94358611440543,199.1345036032909,metabolome
362,PANTS,1.584961547633498e-05,1.9593855309613103e-05,3.744239833278122e-06,3.7442398332428923e-06,metabolome
363,PAPAEC,-0.0055792672746122,99.99548688915272,199.99548688915246,100.00106615642733,no_metabolome
364,PAPPT3,0.0074143963924009,0.0091659390939233,0.0017515427015223992,0.0017515427015223992,metabolome
365,PAPSR,0.062608398869427,0.077398717366064,0.014790318496637006,0.014790319409512101,metabolome
366,PASYNEC,-99.96361304379148,100.0,199.9636130437915,199.95501715759906,metabolome
367,PDH,-100.0,100.0,200.0,200.0,metabolome
368,PDXPP,0.0,100.0,200.0,100.0,no_metabolome
369,PEPTEC,0.0045131108475051,0.0055792672746066,0.0010661564271015004,0.0010661564271004006,metabolome
370,PFK,-100.0,100.0,200.0,199.3926671356058,metabolome
371,PFL,-100.0,100.0,200.0,200.0,metabolome
372,PGAMT,-0.0239111454626417,-0.0193419036320603,0.0045692418305814005,0.0045692418305814005,metabolome
373,PGCD,-100.0,100.0,200.0,200.0,metabolome
374,PGI,-100.0,100.0,200.0,199.82920024542602,metabolome
375,PGK,-99.43775262104626,100.0,199.43775262104626,199.30492990144853,metabolome
376,PGL,-100.0,100.0,200.0,200.0,metabolome
377,PGM,-100.0,100.0,200.0,199.94188671796246,metabolome
378,PGMT,-100.0,100.0,200.0,200.0,metabolome
379,PGPPEC,-99.99030218442871,100.0,199.9903021844287,199.98801121734462,metabolome
380,PGSAEC,-99.99030218442871,100.0,199.9903021844287,199.98801121734462,metabolome
381,PHETA1,-0.0584494666857011,-0.0472802088792683,0.011169257806432797,0.011169257806432797,metabolome
382,PLIPA1,-100.0,99.99030218442871,199.9903021844287,199.9880112173446,metabolome
383,PLIPA2,-100.0,99.96879774851516,199.96879774851516,199.51784295958646,metabolome
384,PMDPHT,2.6863755044611746e-06,3.3209924253542664e-06,6.346169208930918e-07,6.6419848507218305e-06,metabolome
385,PNTK,-1.9593855309613103e-05,1.9593855309613103e-05,3.9187710619226206e-05,3.7442398369964e-06,metabolome
386,POX,-100.0,100.0,200.0,200.0,metabolome
387,ppa,-100.0,100.0,200.0,199.2275772570477,metabolome
388,PPAKr,-99.0300370638391,99.5674390103593,200.0,198.5974760741984,no_metabolome
389,PPC,0.0,100.0,200.0,100.0,no_metabolome
390,PPCDC,-1.9593855309613103e-05,1.9593855309613103e-05,3.9187710619226206e-05,3.7442400643700756e-06,metabolome
391,PPCK,-99.94652593703825,100.0,199.94652593703825,200.0,metabolome
392,PPCSCT,-100.0,100.0,200.0,200.0,metabolome
393,PPM,-100.0,100.0,200.0,199.3839536639549,metabolome
394,PPM2,-100.0,99.9104741185744,199.9104741185744,199.88932493853298,metabolome
395,PPNCL2,1.5849615476334984e-05,1.9593855309613103e-05,3.7442398332781187e-06,3.7442398332830687e-06,metabolome
396,PPND,0.0351915191089968,0.0435050007717467,0.008313481662749901,0.008313481662749901,metabolome
397,PPNDH,0.0472802088792683,0.0584494666857011,0.011169257806432797,0.011169257806432797,metabolome
398,PPS,-100.0,100.0,200.0,199.42832023798732,metabolome
399,PPTGS,0.0074143963924009,0.0091659390939233,0.0017515427015223992,0.0017515427015223992,metabolome
400,PRAGSr,0.1321989563123812,0.1634290261448694,0.03123006983248819,0.03123006983249249,metabolome
401,PRAIi,0.0145064277240903,0.017933359096913,0.003426931372822701,0.0034269315843357007,metabolome
402,PRAIS,0.1321989563124586,0.1634290261448625,0.031230069832403895,0.031230075331620782,metabolome
403,PRAMPC,0.0241773795400632,0.0298889318283812,0.005711552288318,0.0057115522882327,metabolome
404,PRASCS,0.1321989563125585,0.1634290261448635,0.031230069832304974,0.031230069832483193,metabolome
405,PRATPP,0.0241773795400632,0.0298889318283812,0.005711552288318,0.0057115522882327,metabolome
406,PRFGS,0.1321989563125134,0.1634290261448638,0.031230069832350382,0.031230069832517388,metabolome
407,PRMICIi,0.0241773795400632,0.0298889318283812,0.005711552288318,0.0057115522882327,metabolome
408,PROD2,-100.0,99.94358611440543,199.94358611440543,199.94358611440543,metabolome
409,PRPPS,-100.0,100.0,200.0,199.74185567067292,metabolome
410,PSCVT,0.1104100332331796,0.1364927886820603,0.026082755448880696,0.026082755448940703,metabolome
411,PSDEC,-99.96949620614632,99.99930154236884,199.96879774851516,199.96142667297988,metabolome
412,PSERT,-100.0,100.0,200.0,200.0,metabolome
413,PSPL,-100.0,100.0,200.0,200.0,metabolome
414,PSSAEC,-99.96879774851516,100.0,199.96879774851516,199.96142667297988,metabolome
415,PTA2,-100.0,100.0,200.0,199.5674390103585,metabolome
416,PTAr,-100.0,100.0,200.0,200.0,metabolome
417,PTPATi,1.5849615476334984e-05,1.9593855309613103e-05,3.7442398332781187e-06,3.918771061928173e-05,metabolome
418,PTRCTA,-100.0,99.98871722288108,199.98871722288106,199.98605183181365,metabolome
419,PUNP1,-100.0,100.0,200.0,200.0,metabolome
420,PUNP2,-100.0,100.0,200.0,200.0,metabolome
421,PUNP3,-100.0,100.0,200.0,200.0,metabolome
422,PUNP4,-100.0,100.0,200.0,200.0,metabolome
423,PUNP5,-100.0,100.0,200.0,200.0,metabolome
424,PUNP6,-0.0082028512906475,99.91841503877836,200.0,99.92661789006901,no_metabolome
425,PUNP7,-100.0,100.0,200.0,200.0,metabolome
426,PYAM5PO,-100.0,100.0,200.0,200.0,metabolome
427,PYDAMK,-100.0,100.0,200.0,200.0,metabolome
428,PYDXK,0.0,100.0,200.0,100.0,no_metabolome
429,PYDXNK,0.0,100.0,200.0,100.0,no_metabolome
430,PYDXPP,0.0,100.0,200.0,100.0,no_metabolome
431,PYK,0.0,100.0,100.0,200.0,metabolome
432,PYNP2r,-100.0,100.0,200.0,200.0,metabolome
433,QULNS,-0.0009066309321216,0.0009066309321216,0.0018132618642432,0.001813261864247,metabolome
434,RBFK,2.686375504461174e-06,3.3209924253542664e-06,6.346169208930923e-07,6.6419848507226334e-06,metabolome
435,RBFSa,-6.501629461996076e-06,6.50162946199601e-06,1.3003258923992085e-05,1.572344046367958e-07,metabolome
